1   ,2   ,3   ,4   ,5   ,6   ,7   ,8   ,9   ,10  ,11  ,12  ,13  ,14  ,15  
T   ,T   ,C   ,T   ,T   ,T   ,T   ,T   ,T   ,T   ,T   ,T   ,T   ,A   ,T   
I(P),    ,    ,    ,T   ,    ,C   ,    ,T   ,    ,    ,    ,    ,    ,T
T   ,    ,    ,    ,T   ,    ,C   ,    ,T   ,    ,    ,    ,    ,    ,T
T   ,    ,    ,    ,T   ,    ,C   ,    ,T   ,    ,    ,    ,    ,    ,T
T   ,    ,    ,    ,T   ,    ,T   ,    ,T   ,    ,    ,T   ,    ,    ,T
T   ,    ,    ,    ,T   ,    ,T   ,    ,T   ,    ,    ,T   ,    ,    ,T
T   ,    ,    ,    ,T   ,    ,    ,    ,T   ,    ,    ,T   ,    ,    ,T
T   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,T   ,    ,    ,T
T   ,    ,    ,    ,T   ,    ,    ,    ,T   ,    ,    ,T   ,    ,    ,T
T   ,I(T),T   ,I(S),T   ,T   ,T   ,T   ,T   ,T   ,T   ,T   ,I(O),T   ,T   
