1,   2,   3,   4,   5,   6,   7,   8,   9,   10,  11,  12,  13,  14,  15  
T,   I(S),T,   T,   D,   T,   T,   T,   C,   T,   T,   F,   T,   T,   T   
T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   I(O),T
C,    ,   T,    ,   T,   T,   T,    ,   T,   T,   T,    ,   T,    ,   T
T,    ,   T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   F
T,    ,   T,    ,   T,    ,   T,    ,   T,    ,   T,    ,   T,    ,   T
T,    ,   T,    ,   T,    ,   T,    ,   T,    ,   T,    ,   T,    ,   T
F,    ,   T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   C
T,    ,   T,    ,   T,   T,   T,    ,   T,   T,   T,    ,   T,    ,   T
T,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   I(P),T
T,   I(C),T,   T,   A,   T,   T,   T,   C,   T,   T,   F,   T,   T,   T   
